iterationName,wID,aID,origText,rt,response,tangram,targetAudience,uttLengthWords,trial_index,time_elapsed,gameId,playerId,trial_type
comprehension,5e886683524dca4f1853e20c,600d335a9cf6444a77ab3b49,,12115.359999937937,,,,,21,98630,,,survey-html-form
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,woman sitting,5217.30999997817,B,B,ownGroup,2,13,80812,JP4KRrdASPaZ6Yooo,k6aatfn6D3cGqmLKj,html-button-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,Human looking on the right side,2140.0750000029802,47,E,otherGroup,6,8,75838,9wpj9KkiFEADFNfx8,seW6HvhD9zC4ToSZy,html-slider-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,"the one with the arms lifted, and the body in diagonal",10896.999999997206,C,C,ownGroup,11,5,88927,aLuopkgfJ8GHWfPNP,7vPD38TZf7F6AQSB3,html-button-response
comprehension,5e886683524dca4f1853e20c,600d335a9cf6444a77ab3b49,,1195.5150000285357,Submit Response,,,,22,99830,,,html-button-response
comprehension,5ef0b80c783eb301cab78d7f,600d334e8f1fb84f0f053f96,man standing with the hands in the front horizontially,2076.4950000011595,67,D,otherGroup,9,18,110204,JP4KRrdASPaZ6Yooo,k6aatfn6D3cGqmLKj,html-slider-response
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,woman sitting,1527.8699999907985,100,B,ownGroup,2,14,82342,JP4KRrdASPaZ6Yooo,k6aatfn6D3cGqmLKj,html-slider-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,Person sitting against wall,4110.7099999208,H,F,ownGroup,4,9,79952,zEBta7eAuxvtkjmTX,Ju8orRGqRLq3YN2QE,html-button-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,"the one with the arms lifted, and the body in diagonal",5123.00000002142,100,C,ownGroup,11,6,94053,aLuopkgfJ8GHWfPNP,7vPD38TZf7F6AQSB3,html-slider-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,Person sitting against wall,1734.4349999912083,55,F,ownGroup,4,10,81689,zEBta7eAuxvtkjmTX,Ju8orRGqRLq3YN2QE,html-slider-response
comprehension,5ef0b80c783eb301cab78d7f,600d334e8f1fb84f0f053f96,sits facing forward with nothing on his head,6678.710000000137,F,H,ownGroup,8,19,116885,wjwzCZqktezhoNwdn,eq5bWXrnvhaHAifGC,html-button-response
comprehension,5ef0b80c783eb301cab78d7f,600d334e8f1fb84f0f053f96,sits facing forward with nothing on his head,3224.77500000241,57,H,ownGroup,8,20,120111,wjwzCZqktezhoNwdn,eq5bWXrnvhaHAifGC,html-slider-response
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,a square under two triangles like ears,10481.000000028871,E,E,ownGroup,7,15,92826,dnzYp4v3YyS6WeYcY,QsJYKnnubqYXSDzbE,html-button-response
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,a square under two triangles like ears,3614.2049999907613,100,E,ownGroup,7,16,96443,dnzYp4v3YyS6WeYcY,QsJYKnnubqYXSDzbE,html-slider-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,"sitting, looking up",12231.999999959953,B,B,ownGroup,3,7,106291,vkbunGDg7rfy7MdPD,kcH6fp3ksWD2dcE9S,html-button-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,"the strangest one, facing right, with a hat",13131.5300000133,E,G,otherGroup,8,11,94823,ytHtL6X7FZLgNXnib,P7HQiz27Z69wYJo3Z,html-button-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,"sitting, looking up",1961.9999999995343,100,B,ownGroup,3,8,108257,vkbunGDg7rfy7MdPD,kcH6fp3ksWD2dcE9S,html-slider-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,"the strangest one, facing right, with a hat",1723.850000067614,35,G,otherGroup,8,12,96549,ytHtL6X7FZLgNXnib,P7HQiz27Z69wYJo3Z,html-slider-response
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,"the most simple one, with a square as a head and no limbs",8255.755000049248,H,H,ownGroup,13,17,104701,zEBta7eAuxvtkjmTX,t6ctfHQ7DEPmGFEYB,html-button-response
comprehension,5ef0b80c783eb301cab78d7f,600d334e8f1fb84f0f053f96,,13241.14499999996,,,,,21,133353,,,survey-html-form
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,"the most simple one, with a square as a head and no limbs",1983.2649999298155,100,H,ownGroup,13,18,106687,zEBta7eAuxvtkjmTX,t6ctfHQ7DEPmGFEYB,html-slider-response
comprehension,5ef0b80c783eb301cab78d7f,600d334e8f1fb84f0f053f96,,1654.260000002978,Submit Response,,,,22,135009,,,html-button-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,click the first one from the left,5400.414999923669,G,catch,catch,0,13,101952,catch,catch,html-button-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,click the first one from the left,8771.999999997206,G,catch,catch,0,9,117033,catch,catch,html-button-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,click the first one from the left,2364.7150000324473,71,catch,catch,0,14,104319,catch,catch,html-slider-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,The guy standing on one leg with one leg up,3643.4400000143796,A,A,otherGroup,10,15,107965,tpY4W7eRoxEtupkmw,7QnSd2kfFHmh5gcQ7,html-button-response
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,man standing with a tray,6605.5200000992045,D,D,ownGroup,5,19,113296,vkbunGDg7rfy7MdPD,7sCNtPyG5JFnRqCdT,html-button-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,click the first one from the left,4843.9999999827705,100,catch,catch,0,10,121882,catch,catch,html-slider-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,The guy standing on one leg with one leg up,1505.765000008978,100,A,otherGroup,10,16,109473,tpY4W7eRoxEtupkmw,7QnSd2kfFHmh5gcQ7,html-slider-response
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,man standing with a tray,1334.0500000631437,100,D,ownGroup,5,20,114632,vkbunGDg7rfy7MdPD,7sCNtPyG5JFnRqCdT,html-slider-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,kneeling man,1842.3450000118464,B,B,otherGroup,2,17,111317,vKJfPn5PH2B49D7Ko,dANjNmhL9y9BW38Gd,html-button-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,kneeling man,1191.675000009127,100,B,otherGroup,2,18,112511,vKJfPn5PH2B49D7Ko,dANjNmhL9y9BW38Gd,html-slider-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,"potato, nice connected, other head to right",5264.384999987669,H,H,ownGroup,7,19,117778,WYftRDkmrSjsHDx7x,9AJjndrGjG3sFp7Y3,html-button-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,"potato, nice connected, other head to right",1304.6599999070168,27,H,ownGroup,7,20,119085,WYftRDkmrSjsHDx7x,9AJjndrGjG3sFp7Y3,html-slider-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,looks like an angel,13766.99999999255,G,G,otherGroup,4,11,135654,hMRQdqJMNnJdkQdaZ,YqXMc6N55tPPG95HT,html-button-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,looks like an angel,2671.0000000311993,100,G,otherGroup,4,12,138328,hMRQdqJMNnJdkQdaZ,YqXMc6N55tPPG95HT,html-slider-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,rabbit,9938.000000023749,E,E,ownGroup,1,13,148270,RXcJQ3BxKX2p7ifiG,gfNqBikGHHPWfNb5y,html-button-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,,16924.90500002168,,,,,21,136012,,,survey-html-form
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,,914.0449999831617,Submit Response,,,,22,136928,,,html-button-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,rabbit,5344.000000040978,99,E,ownGroup,1,14,153621,RXcJQ3BxKX2p7ifiG,gfNqBikGHHPWfNb5y,html-slider-response
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,,38170.199999934994,,,,,21,152805,,,survey-html-form
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,,2683.305000071414,Submit Response,,,,22,155491,,,html-button-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,A person standing straight with both feet with diamond head,38131.999999983236,D,D,ownGroup,10,15,191757,znqg5oiJkLubdmf2a,nYXhDfNHSFDhQonSj,html-button-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,A person standing straight with both feet with diamond head,2347.9999999981374,100,D,ownGroup,10,16,194110,znqg5oiJkLubdmf2a,nYXhDfNHSFDhQonSj,html-slider-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,Person sitting with knee up facing left,10769.000000029337,F,F,otherGroup,7,17,204884,YLWsekeYoH9Nw4RCZ,p5SCRgGJxGsbq8j7b,html-button-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,Person sitting with knee up facing left,3146.999999997206,100,F,otherGroup,7,18,208033,YLWsekeYoH9Nw4RCZ,p5SCRgGJxGsbq8j7b,html-slider-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,Legless and armless man,4988.000000012107,H,H,ownGroup,4,19,213026,cGNuegcWYpFzhERdS,s8yg6tepLJ69GuzxQ,html-button-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,Legless and armless man,3905.999999959022,100,H,ownGroup,4,20,216937,cGNuegcWYpFzhERdS,s8yg6tepLJ69GuzxQ,html-slider-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,,210523.9999999758,,,,,21,427464,,,survey-html-form
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,,7166.000000026543,Submit Response,,,,22,434640,,,html-button-response
comprehension,5ea358be733b422d604a60e6,600d358829128c4efd9a64b2,,2449.8700000112876,,,,,0,2466,,,html-keyboard-response
comprehension,5d274c8bc2bef0000167d805,600d3583f290344f4fde84b2,,12053,,,,,0,12094,,,html-keyboard-response
comprehension,5d274c8bc2bef0000167d805,600d3583f290344f4fde84b2,,5574.000000000004,I consent to participate.,,,,1,17670,,,html-button-response
comprehension,5ea730e761f86b0f88aba18a,600d359c271cf04f7a10bd9c,,8314,,,,,0,8324,,,html-keyboard-response
comprehension,5ea358be733b422d604a60e6,600d358829128c4efd9a64b2,,30040.365000022575,I consent to participate.,,,,1,32509,,,html-button-response
comprehension,5ea730e761f86b0f88aba18a,600d359c271cf04f7a10bd9c,,3493,I consent to participate.,,,,1,11823,,,html-button-response
comprehension,5fbea10a0a8445052bfe10eb,600d35a807aa664f231c9c19,,4262.805000180379,,,,,0,4276,,,html-keyboard-response
comprehension,5e36be214de4516479b48f31,600d35ad658fd2282ac2f262,,1969.730000004347,,,,,0,1990,,,html-keyboard-response
comprehension,5ea358be733b422d604a60e6,600d358829128c4efd9a64b2,,6667.324999929406,,,,,2,39178,,,html-keyboard-response
comprehension,5fbea10a0a8445052bfe10eb,600d35a807aa664f231c9c19,,3588.3149998262525,I consent to participate.,,,,1,7867,,,html-button-response
comprehension,5d274c8bc2bef0000167d805,600d3583f290344f4fde84b2,,16979.999999999996,,,,,2,34654,,,html-keyboard-response
comprehension,5c8e8032b828c80018fde80c,600d35ae34acba5006a04d3b,,4298.76999999999,,,,,0,4305,,,html-keyboard-response
comprehension,5ea358be733b422d604a60e6,600d358829128c4efd9a64b2,bunny,4812.094999942929,G,E,ownGroup,1,3,43995,cGNuegcWYpFzhERdS,8ALKyt78tFfcichK5,html-button-response
comprehension,5ea730e761f86b0f88aba18a,600d359c271cf04f7a10bd9c,,10985,,,,,2,22810,,,html-keyboard-response
comprehension,5e36be214de4516479b48f31,600d35ad658fd2282ac2f262,,6395.244999999704,I consent to participate.,,,,1,8389,,,html-button-response
comprehension,5d274c8bc2bef0000167d805,600d3583f290344f4fde84b2,click the first one from the left,5969,G,catch,catch,0,3,40639,catch,catch,html-button-response
comprehension,5fbea10a0a8445052bfe10eb,600d35a807aa664f231c9c19,,6816.450000042096,,,,,2,14684,,,html-keyboard-response
comprehension,5fbb4a593dc031c2a81c7944,600d35ac316e264e5664d1db,,6258.7599999969825,,,,,0,6299,,,html-keyboard-response
comprehension,5ea358be733b422d604a60e6,600d358829128c4efd9a64b2,bunny,4865.98000000231,68,E,ownGroup,1,4,48865,cGNuegcWYpFzhERdS,8ALKyt78tFfcichK5,html-slider-response
comprehension,5e36be214de4516479b48f31,600d35ad658fd2282ac2f262,,3418.5550000038347,,,,,2,11809,,,html-keyboard-response
comprehension,5fbb4a593dc031c2a81c7944,600d35ac316e264e5664d1db,,3205.3350000060163,I consent to participate.,,,,1,9521,,,html-button-response
comprehension,5ea730e761f86b0f88aba18a,600d359c271cf04f7a10bd9c,Exercising person looking left or sitting person looking at his knees,6938,F,F,ownGroup,11,3,29752,9wpj9KkiFEADFNfx8,AQ7Rw7b42BTvhgRbJ,html-button-response
