model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon,trialNum,                  condition,partnerID,partner,val
Listener,5,5,0.9,0.01,19,4,partner2,group2,0.5078499999999998
Listener,5,5,0.9,0.01,19,4,partner3,group2,0.4918500000000001
Listener,5,5,0.9,0.01,19,4,partner3,group1,0.5081499999999999
Listener,5,5,0.9,0.01,19,4,partner4,group1,0.4923499999999997
Listener,5,5,0.9,0.01,19,4,partner4,group2,0.5076500000000003
Listener,5,5,0.9,0.01,20,4,partner1,group1,1
Listener,5,5,0.9,0.01,20,4,partner2,group2,0.5131499999999993
Listener,5,5,0.9,0.01,20,4,partner2,group1,0.48685000000000067
Listener,5,5,0.9,0.01,20,4,partner3,group2,0.4832000000000006
Listener,5,5,0.9,0.01,20,4,partner3,group1,0.5167999999999995
Listener,5,5,0.9,0.01,20,4,partner4,group2,0.5218
Listener,5,5,0.9,0.01,20,4,partner4,group1,0.47819999999999985
Listener,5,5,0.9,0.01,21,4,partner1,group1,1
Listener,5,5,0.9,0.01,21,4,partner2,group2,0.5149000000000005
Listener,5,5,0.9,0.01,21,4,partner2,group1,0.48509999999999953
Listener,5,5,0.9,0.01,21,4,partner3,group1,0.5129499999999996
Listener,5,5,0.9,0.01,21,4,partner3,group2,0.4870500000000004
Listener,5,5,0.9,0.01,21,4,partner4,group1,0.49005000000000004
Listener,5,5,0.9,0.01,21,4,partner4,group2,0.50995
Listener,5,5,0.9,0.01,22,4,partner1,group1,1
Listener,5,5,0.9,0.01,22,4,partner2,group1,0.49879999999999985
Listener,5,5,0.9,0.01,22,4,partner2,group2,0.5012000000000002
Listener,5,5,0.9,0.01,22,4,partner3,group1,0.5117499999999989
Listener,5,5,0.9,0.01,22,4,partner3,group2,0.48825000000000107
Listener,5,5,0.9,0.01,22,4,partner4,group2,0.5001999999999993
Listener,5,5,0.9,0.01,22,4,partner4,group1,0.4998000000000007
Listener,5,5,0.9,0.01,23,4,partner1,group1,1
Listener,5,5,0.9,0.01,23,4,partner2,group1,0.4745999999999999
Listener,5,5,0.9,0.01,23,4,partner2,group2,0.5254000000000001
Listener,5,5,0.9,0.01,23,4,partner3,group1,0.4996999999999996
Listener,5,5,0.9,0.01,23,4,partner3,group2,0.5003000000000004
Listener,5,5,0.9,0.01,23,4,partner4,group2,0.5323999999999998
Listener,5,5,0.9,0.01,23,4,partner4,group1,0.46760000000000035
Listener,5,5,0.9,0.01,24,4,partner1,group1,1
Listener,5,5,0.9,0.01,24,4,partner2,group1,0.4714999999999995
Listener,5,5,0.9,0.01,24,4,partner2,group2,0.5285000000000004
Listener,5,5,0.9,0.01,24,4,partner3,group1,0.5007999999999994
Listener,5,5,0.9,0.01,24,4,partner3,group2,0.49920000000000064
Listener,5,5,0.9,0.01,24,4,partner4,group1,0.4914000000000005
Listener,5,5,0.9,0.01,24,4,partner4,group2,0.5085999999999996
