model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  condition,partnerID,partner,val,
Listener,5,5,0.9,0.01,32,1,1,partner2,group1,0.49275,
Listener,5,5,0.9,0.01,33,1,1,partner2,group1,0.46775,
Listener,5,5,0.9,0.01,34,1,1,partner2,group1,0.468,
Listener,5,5,0.9,0.01,35,1,1,partner2,group1,0.40075,
Listener,5,5,0.9,0.01,36,1,1,partner2,group1,0.647125,
Listener,5,5,0.9,0.01,37,1,1,partner2,group1,0.54025,
Listener,5,5,0.9,0.01,38,1,1,partner2,group1,0.587625,
Listener,5,5,0.9,0.01,39,1,1,partner2,group1,0.501125,
Listener,5,5,0.9,0.01,40,1,1,partner2,group1,0.424625,
Listener,5,5,0.9,0.01,41,1,1,partner2,group1,0.49325,
Listener,5,5,0.9,0.01,42,1,1,partner2,group1,0.484125,
Listener,5,5,0.9,0.01,43,1,1,partner2,group1,0.501625,
Listener,5,5,0.9,0.01,44,1,1,partner2,group1,0.537375,
Listener,5,5,0.9,0.01,45,1,1,partner2,group1,0.617125,
Listener,5,5,0.9,0.01,46,1,1,partner2,group1,0.43475,
Listener,5,5,0.9,0.01,47,1,1,partner2,group1,0.5045,
Listener,5,5,0.9,0.01,48,1,1,partner2,group1,0.573375,
Listener,5,5,0.9,0.01,49,1,1,partner2,group1,0.487625,
Listener,5,5,0.9,0.01,50,1,1,partner2,group1,0.63125,
Listener,5,5,0.9,0.01,51,1,1,partner2,group1,0.521625,
Listener,5,5,0.9,0.01,52,1,1,partner2,group1,0.488625,
Listener,5,5,0.9,0.01,53,1,1,partner2,group1,0.527125,
Listener,5,5,0.9,0.01,54,1,1,partner2,group1,0.489875,
Listener,5,5,0.9,0.01,55,1,1,partner2,group1,0.5075,
Listener,5,5,0.9,0.01,56,1,1,partner2,group1,0.416625,
Listener,5,5,0.9,0.01,57,1,1,partner2,group1,0.46775,
Listener,5,5,0.9,0.01,58,1,1,partner2,group1,0.59,
Listener,5,5,0.9,0.01,59,1,1,partner2,group1,0.53725,
Listener,5,5,0.9,0.01,60,1,1,partner2,group1,0.48475,
Listener,5,5,0.9,0.01,61,1,1,partner2,group1,0.47925,
Listener,5,5,0.9,0.01,62,1,1,partner2,group1,0.420625,
Listener,5,5,0.9,0.01,63,1,1,partner2,group1,0.62,
Listener,5,5,0.9,0.01,64,1,1,partner2,group1,0.473,
Listener,5,5,0.9,0.01,65,1,1,partner2,group1,0.464125,
Listener,5,5,0.9,0.01,66,1,1,partner2,group1,0.53925,
Listener,5,5,0.9,0.01,67,1,1,partner2,group1,0.60375,
Listener,5,5,0.9,0.01,68,1,1,partner2,group1,0.524125,
Listener,5,5,0.9,0.01,69,1,1,partner2,group1,0.57275,
Listener,5,5,0.9,0.01,70,1,1,partner2,group1,0.471125,
Listener,5,5,0.9,0.01,71,1,1,partner2,group1,0.431,
Listener,5,5,0.9,0.01,72,1,1,partner2,group1,0.533875,
Listener,5,5,0.9,0.01,73,1,1,partner2,group1,0.425875,
Listener,5,5,0.9,0.01,74,1,1,partner2,group1,0.40325,
Listener,5,5,0.9,0.01,75,1,1,partner2,group1,0.604375,
Listener,5,5,0.9,0.01,76,1,1,partner2,group1,0.528125,
Listener,5,5,0.9,0.01,77,1,1,partner2,group1,0.475,
Listener,5,5,0.9,0.01,78,1,1,partner2,group1,0.45975,
Listener,5,5,0.9,0.01,79,1,1,partner2,group1,0.41725,
Listener,5,5,0.9,0.01,80,1,1,partner2,group1,0.598,
Listener,5,5,0.9,0.01,81,1,1,partner2,group1,0.402875,
Listener,5,5,0.9,0.01,82,1,1,partner2,group1,0.485375,
Listener,5,5,0.9,0.01,83,1,1,partner2,group1,0.48575,
Listener,5,5,0.9,0.01,84,1,1,partner2,group1,0.557875,
Listener,5,5,0.9,0.01,85,1,1,partner2,group1,0.455375,
Listener,5,5,0.9,0.01,86,1,1,partner2,group1,0.491125,
Listener,5,5,0.9,0.01,87,1,1,partner2,group1,0.54825,
Listener,5,5,0.9,0.01,88,1,1,partner2,group1,0.53075,
Listener,5,5,0.9,0.01,89,1,1,partner2,group1,0.594875,
Listener,5,5,0.9,0.01,90,1,1,partner2,group1,0.417875,
Listener,5,5,0.9,0.01,91,1,1,partner2,group1,0.5655,
Listener,5,5,0.9,0.01,92,1,1,partner2,group1,0.4955,
Listener,5,5,0.9,0.01,93,1,1,partner2,group1,0.566,
Listener,5,5,0.9,0.01,94,1,1,partner2,group1,0.461125,
Listener,5,5,0.9,0.01,95,1,1,partner2,group1,0.512875,
Listener,5,5,0.9,0.01,96,1,1,partner2,group1,0.424125,
Listener,5,5,0.9,0.01,97,1,1,partner2,group1,0.573125,
Listener,5,5,0.9,0.01,98,1,1,partner2,group1,0.518,
Listener,5,5,0.9,0.01,99,1,1,partner2,group1,0.4335,0.49976625
Listener,5,5,0.9,0.01,0,1,1,partner2,group2,0.375375,
Listener,5,5,0.9,0.01,1,1,1,partner2,group2,0.524375,
Listener,5,5,0.9,0.01,2,1,1,partner2,group2,0.385875,
Listener,5,5,0.9,0.01,3,1,1,partner2,group2,0.447375,
Listener,5,5,0.9,0.01,4,1,1,partner2,group2,0.621125,
Listener,5,5,0.9,0.01,5,1,1,partner2,group2,0.45,
Listener,5,5,0.9,0.01,6,1,1,partner2,group2,0.499875,
Listener,5,5,0.9,0.01,7,1,1,partner2,group2,0.48325,
Listener,5,5,0.9,0.01,8,1,1,partner2,group2,0.430375,
