scale, iterationNum, trialNum,                  condition,partnerID,partner,val
0.05,0,17,3,partner1,group1,1
0.05,0,17,3,partner2,group1,0.313625
0.05,0,17,3,partner2,group2,0.686375
0.05,0,17,3,partner3,group1,0.72
0.05,0,17,3,partner3,group2,0.28
0.05,0,17,3,partner4,group1,0.540375
0.05,0,17,3,partner4,group2,0.459625
0.05,0,18,3,partner1,group1,1
0.05,0,18,3,partner2,group1,0.10775
0.05,0,18,3,partner2,group2,0.89225
0.05,0,18,3,partner3,group1,0.883125
0.05,0,18,3,partner3,group2,0.116875
0.05,0,18,3,partner4,group1,0.31625
0.05,0,18,3,partner4,group2,0.68375
0.05,0,19,4,partner1,group1,1
0.05,0,19,4,partner2,group1,0.357375
0.05,0,19,4,partner2,group2,0.642625
0.05,0,19,4,partner3,group1,0.68275
0.05,0,19,4,partner3,group2,0.31725
0.05,0,19,4,partner4,group1,0.357125
0.05,0,19,4,partner4,group2,0.642875
0.05,0,20,4,partner1,group1,1
0.05,0,20,4,partner2,group1,0.2465
0.05,0,20,4,partner2,group2,0.7535
0.05,0,20,4,partner3,group1,0.739375
0.05,0,20,4,partner3,group2,0.260625
0.05,0,20,4,partner4,group1,0.265125
0.05,0,20,4,partner4,group2,0.734875
0.05,0,21,4,partner1,group1,1
0.05,0,21,4,partner2,group1,0.193375
0.05,0,21,4,partner2,group2,0.806625
0.05,0,21,4,partner3,group1,0.83575
0.05,0,21,4,partner3,group2,0.16425
0.05,0,21,4,partner4,group1,0.1975
0.05,0,21,4,partner4,group2,0.8025
0.05,0,22,4,partner1,group1,1
0.05,0,22,4,partner2,group1,0.2975
0.05,0,22,4,partner2,group2,0.7025
0.05,0,22,4,partner3,group1,0.74925
0.05,0,22,4,partner3,group2,0.25075
0.05,0,22,4,partner4,group1,0.253625
0.05,0,22,4,partner4,group2,0.746375
0.05,0,23,4,partner1,group1,1
0.05,0,23,4,partner2,group1,0.104875
0.05,0,23,4,partner2,group2,0.895125
0.05,0,23,4,partner3,group1,0.926375
0.05,0,23,4,partner3,group2,0.073625
0.05,0,23,4,partner4,group1,0.0715
0.05,0,23,4,partner4,group2,0.9285
0.05,0,24,4,partner1,group1,1
0.05,0,24,4,partner2,group1,0.21675
0.05,0,24,4,partner2,group2,0.78325
0.05,0,24,4,partner3,group1,0.79825
0.05,0,24,4,partner3,group2,0.20175
0.05,0,24,4,partner4,group1,0.186125
0.05,0,24,4,partner4,group2,0.813875
0.05,1,1,1,partner1,group1,1
0.05,1,1,1,partner2,group1,0.475625
0.05,1,1,1,partner2,group2,0.524375
0.05,1,1,1,partner3,group1,0.58375
0.05,1,1,1,partner3,group2,0.41625
0.05,1,1,1,partner4,group1,0.394625
0.05,1,1,1,partner4,group2,0.605375
0.05,1,2,1,partner1,group1,1
0.05,1,2,1,partner2,group1,0.435625
0.05,1,2,1,partner2,group2,0.564375
0.05,1,2,1,partner3,group1,0.42225
0.05,1,2,1,partner3,group2,0.57775
0.05,1,2,1,partner4,group1,0.53575
0.05,1,2,1,partner4,group2,0.46425
0.05,1,3,1,partner1,group1,1
0.05,1,3,1,partner2,group1,0.530625
0.05,1,3,1,partner2,group2,0.469375
0.05,1,3,1,partner3,group1,0.436125
0.05,1,3,1,partner3,group2,0.563875
0.05,1,3,1,partner4,group1,0.494375
0.05,1,3,1,partner4,group2,0.505625
0.05,1,4,1,partner1,group1,1
0.05,1,4,1,partner2,group1,0.52525
0.05,1,4,1,partner2,group2,0.47475
0.05,1,4,1,partner3,group1,0.56075
0.05,1,4,1,partner3,group2,0.43925
0.05,1,4,1,partner4,group1,0.517
0.05,1,4,1,partner4,group2,0.483
0.05,1,5,1,partner1,group1,1
0.05,1,5,1,partner2,group1,0.331625
0.05,1,5,1,partner2,group2,0.668375
0.05,1,5,1,partner3,group1,0.47125
0.05,1,5,1,partner3,group2,0.52875
0.05,1,5,1,partner4,group1,0.535875
0.05,1,5,1,partner4,group2,0.464125
0.05,1,6,1,partner1,group1,1
0.05,1,6,1,partner2,group1,0.413375
0.05,1,6,1,partner2,group2,0.586625
0.05,1,6,1,partner3,group1,0.53975
0.05,1,6,1,partner3,group2,0.46025
0.05,1,6,1,partner4,group1,0.5075
0.05,1,6,1,partner4,group2,0.4925
0.05,1,7,2,partner1,group1,1
0.05,1,7,2,partner2,group1,0.39775
0.05,1,7,2,partner2,group2,0.60225
0.05,1,7,2,partner3,group1,0.46775
0.05,1,7,2,partner3,group2,0.53225
0.05,1,7,2,partner4,group1,0.633
0.05,1,7,2,partner4,group2,0.367
0.05,1,8,2,partner1,group1,1
0.05,1,8,2,partner2,group1,0.121
0.05,1,8,2,partner2,group2,0.879
0.05,1,8,2,partner3,group1,0.462875
0.05,1,8,2,partner3,group2,0.537125
0.05,1,8,2,partner4,group1,0.549
0.05,1,8,2,partner4,group2,0.451
0.05,1,9,2,partner1,group1,1
0.05,1,9,2,partner2,group1,0.194625
0.05,1,9,2,partner2,group2,0.805375
0.05,1,9,2,partner3,group1,0.57775
0.05,1,9,2,partner3,group2,0.42225
0.05,1,9,2,partner4,group1,0.457625
0.05,1,9,2,partner4,group2,0.542375
0.05,1,10,2,partner1,group1,1
0.05,1,10,2,partner2,group1,0.1445
0.05,1,10,2,partner2,group2,0.8555
0.05,1,10,2,partner3,group1,0.45
0.05,1,10,2,partner3,group2,0.55
0.05,1,10,2,partner4,group1,0.717625
0.05,1,10,2,partner4,group2,0.282375
0.05,1,11,2,partner1,group1,1
0.05,1,11,2,partner2,group1,0.114375
0.05,1,11,2,partner2,group2,0.885625
0.05,1,11,2,partner3,group1,0.6115
0.05,1,11,2,partner3,group2,0.3885
0.05,1,11,2,partner4,group1,0.439875
0.05,1,11,2,partner4,group2,0.560125
0.05,1,12,2,partner1,group1,1
0.05,1,12,2,partner2,group1,0.143375
0.05,1,12,2,partner2,group2,0.856625
0.05,1,12,2,partner3,group1,0.516125
0.05,1,12,2,partner3,group2,0.483875
0.05,1,12,2,partner4,group1,0.4685
0.05,1,12,2,partner4,group2,0.5315
0.05,1,13,3,partner1,group1,1
0.05,1,13,3,partner2,group1,0.144875
0.05,1,13,3,partner2,group2,0.855125
0.05,1,13,3,partner3,group1,0.70325
0.05,1,13,3,partner3,group2,0.29675
0.05,1,13,3,partner4,group1,0.39325
0.05,1,13,3,partner4,group2,0.60675
0.05,1,14,3,partner1,group1,1
0.05,1,14,3,partner2,group1,0.298875
0.05,1,14,3,partner2,group2,0.701125
0.05,1,14,3,partner3,group1,0.6135
0.05,1,14,3,partner3,group2,0.3865
0.05,1,14,3,partner4,group1,0.513625
0.05,1,14,3,partner4,group2,0.486375
0.05,1,15,3,partner1,group1,1
0.05,1,15,3,partner2,group1,0.04675
0.05,1,15,3,partner2,group2,0.95325
0.05,1,15,3,partner3,group1,0.93925
0.05,1,15,3,partner3,group2,0.06075
0.05,1,15,3,partner4,group1,0.323125
0.05,1,15,3,partner4,group2,0.676875
0.05,1,16,3,partner1,group1,1
0.05,1,16,3,partner2,group1,0.116625
0.05,1,16,3,partner2,group2,0.883375
0.05,1,16,3,partner3,group1,0.90925
0.05,1,16,3,partner3,group2,0.09075
0.05,1,16,3,partner4,group1,0.260125
0.05,1,16,3,partner4,group2,0.739875
0.05,1,17,3,partner1,group1,1
0.05,1,17,3,partner2,group1,0.318
0.05,1,17,3,partner2,group2,0.682
0.05,1,17,3,partner3,group1,0.70225
0.05,1,17,3,partner3,group2,0.29775
0.05,1,17,3,partner4,group1,0.561625
0.05,1,17,3,partner4,group2,0.438375
0.05,1,18,3,partner1,group1,1
0.05,1,18,3,partner2,group1,0.230625
0.05,1,18,3,partner2,group2,0.769375
0.05,1,18,3,partner3,group1,0.804125
0.05,1,18,3,partner3,group2,0.195875
0.05,1,18,3,partner4,group1,0.712375
0.05,1,18,3,partner4,group2,0.287625
0.05,1,19,4,partner1,group1,1
0.05,1,19,4,partner2,group1,0.06675
0.05,1,19,4,partner2,group2,0.93325
0.05,1,19,4,partner3,group1,0.947875
0.05,1,19,4,partner3,group2,0.052125
0.05,1,19,4,partner4,group1,0.579625
0.05,1,19,4,partner4,group2,0.420375
0.05,1,20,4,partner1,group1,1
0.05,1,20,4,partner2,group1,0.1915
0.05,1,20,4,partner2,group2,0.8085
0.05,1,20,4,partner3,group1,0.822375
0.05,1,20,4,partner3,group2,0.177625
0.05,1,20,4,partner4,group1,0.178875
0.05,1,20,4,partner4,group2,0.821125
0.05,1,21,4,partner1,group1,1
0.05,1,21,4,partner2,group1,0.28375
0.05,1,21,4,partner2,group2,0.71625
0.05,1,21,4,partner3,group1,0.803875
0.05,1,21,4,partner3,group2,0.196125
0.05,1,21,4,partner4,group1,0.161
0.05,1,21,4,partner4,group2,0.839
0.05,1,22,4,partner1,group1,1
0.05,1,22,4,partner2,group1,0.076125
0.05,1,22,4,partner2,group2,0.923875
0.05,1,22,4,partner3,group1,0.950625
0.05,1,22,4,partner3,group2,0.049375
0.05,1,22,4,partner4,group1,0.07875
0.05,1,22,4,partner4,group2,0.92125
0.05,1,23,4,partner1,group1,1
0.05,1,23,4,partner2,group1,0.06875
0.05,1,23,4,partner2,group2,0.93125
0.05,1,23,4,partner3,group1,0.937875
0.05,1,23,4,partner3,group2,0.062125
0.05,1,23,4,partner4,group1,0.079875
0.05,1,23,4,partner4,group2,0.920125
0.05,1,24,4,partner1,group1,1
0.05,1,24,4,partner2,group1,0.056125
0.05,1,24,4,partner2,group2,0.943875
0.05,1,24,4,partner3,group1,0.9945
0.05,1,24,4,partner3,group2,0.0055
0.05,1,24,4,partner4,group1,0.03675
0.05,1,24,4,partner4,group2,0.96325
0.05,2,1,1,partner1,group1,1
0.05,2,1,1,partner2,group1,0.614125
0.05,2,1,1,partner2,group2,0.385875
0.05,2,1,1,partner3,group1,0.559125
0.05,2,1,1,partner3,group2,0.440875
0.05,2,1,1,partner4,group1,0.325
0.05,2,1,1,partner4,group2,0.675
0.05,2,2,1,partner1,group1,1
0.05,2,2,1,partner2,group1,0.516
0.05,2,2,1,partner2,group2,0.484
0.05,2,2,1,partner3,group1,0.516875
0.05,2,2,1,partner3,group2,0.483125
0.05,2,2,1,partner4,group1,0.384875
0.05,2,2,1,partner4,group2,0.615125
0.05,2,3,1,partner1,group1,1
0.05,2,3,1,partner2,group1,0.53025
0.05,2,3,1,partner2,group2,0.46975
0.05,2,3,1,partner3,group1,0.62875
0.05,2,3,1,partner3,group2,0.37125
0.05,2,3,1,partner4,group1,0.506
0.05,2,3,1,partner4,group2,0.494
0.05,2,4,1,partner1,group1,1
0.05,2,4,1,partner2,group1,0.52575
0.05,2,4,1,partner2,group2,0.47425
0.05,2,4,1,partner3,group1,0.5175
0.05,2,4,1,partner3,group2,0.4825
0.05,2,4,1,partner4,group1,0.533875
0.05,2,4,1,partner4,group2,0.466125
0.05,2,5,1,partner1,group1,1
0.05,2,5,1,partner2,group1,0.50325
0.05,2,5,1,partner2,group2,0.49675
0.05,2,5,1,partner3,group1,0.346375
0.05,2,5,1,partner3,group2,0.653625
0.05,2,5,1,partner4,group1,0.440625
0.05,2,5,1,partner4,group2,0.559375
0.05,2,6,1,partner1,group1,1
0.05,2,6,1,partner2,group1,0.36825
0.05,2,6,1,partner2,group2,0.63175
