_id,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
fD6Z6R8j9XZmmaMgY,complete,false,,,cancelled,,"RLYgwWr8igavtBZPE,bvrMq863wCweBrv3w,jQmb7BmMomc9kmcba,sHhsm6FfEcggbBoGL",2022-05-12T19:25:49Z,2022-05-25T20:47:31Z
DEdHBj8y6pKs5JkMZ,complete,false,,,cancelled,,"J9qSxuZKNrfJbPd2R,jKyKEchjjrQ25iawP,8br2XmfZNd3rAqaLL,ithKLD8en6gagQG2j",2022-05-12T19:25:50Z,2022-05-25T20:47:31Z
T26by33hkACCtBE4F,complete,true,2022-05-25T20:53:13Z,2022-05-25T21:51:23Z,finished,,"EaWaYZDND8qezKvph,Q874c22Afhh2J3R4J,wNj6pMLEutg3tzcuw,yaSSoefnWt2KKKe5Y",2022-05-25T20:47:47Z,
pcfYeXriFumGpR4kn,complete,true,2022-05-25T20:53:13Z,2022-05-25T21:59:09Z,finished,,"6FpdtJAWsoNbTYFWQ,EAxRXE75t42iKMLtA,5DPBkeiGxRisStRiY,YgMGdAAJfoLS5B3bX",2022-05-25T20:47:51Z,
KBKHojeRAcrua84WD,complete,false,2022-05-25T20:53:14Z,,running,,"FYrdPrv9PGYKPBTbi,cLxipdwAp2yHiwEDW,wsHxcQMsocXdSP4Xj,KSFpW374FfNe2CKA5",2022-05-25T20:47:52Z,
Z5fqWaZpunWsW77Lb,complete,false,2022-05-25T20:53:15Z,,running,,"eWmxgXkqw6hRYJHJ4,JHf7cnjRrrTyCmMDb,smXNgyE9n9pRDYhjc,4iaCmZPnJB2mKay3t",2022-05-25T20:47:53Z,
CixBSN7WHKXaRtTSt,complete,false,2022-05-25T20:53:16Z,,running,,"rYqHQFnBvnnPdDm4D,b8cTq5oefucfSs8LD,qRRbAMEd2zA6zHzSc,PxGMEytuxhNPhkkMH",2022-05-25T20:47:54Z,
BWBPbj737rpAeMaKR,complete,false,2022-05-25T20:53:17Z,,running,,"EyCPsQvmHDCQrsieZ,vwd9moeYKH5vjKfCA,pCbf3zuvi6RGEuqYG,mN74E3bE75nt3dSo8",2022-05-25T20:47:55Z,
MFBbmpMavG5NPRsqt,simple,false,2022-05-25T21:03:53Z,,running,,bXRmJzWFqsqBtzPTz,2022-05-25T21:03:48Z,
H8dCCehB25v6TDnP9,simple,false,2022-05-25T21:05:04Z,,running,,Jv7555E76Qqrq3SwF,2022-05-25T21:04:18Z,
