_id,index,stageIds,gameId,createdAt,data.target,data.numTrials,data.trialNum,data.numPartners,data.partnerNum,data.repNum,data.chat,data.room0data,data.room1data,data.room0response,data.room0correct,data.room1response,data.room1correct
RdneJShCfGW2TTH68,2,MsnDFhAfMpHSHZ5St,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_B.png"",""room1"":""/experiment/tangram_A.png""}",16,2,3,0,0,"{""text"":""someone is seated"",""playerId"":""LdE7WMvojagjxzutR"",""role"":""speaker""},{""text"":""not sure what their arms and head are doing"",""playerId"":""LdE7WMvojagjxzutR"",""role"":""speaker""},{""text"":""Yeah that was a difficult one to describe"",""playerId"":""vG7KxAxGB5BaXzjiK"",""role"":""listener""},{""text"":""i'm glad you got that one"",""playerId"":""LdE7WMvojagjxzutR"",""role"":""speaker""},{""text"":""are you going to say something"",""playerId"":""h9yE9SAP59evsbTq3"",""role"":""listener""}","{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":""/experiment/tangram_B.png"",""room_correct"":true}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
aTFZT5EWuEuAbkSBF,3,fxPdCJbqprGitZLCu,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_C.png"",""room1"":""/experiment/tangram_B.png""}",16,3,3,0,0,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
vAABtbryeQP2DRMqE,4,X8RKLBvEwcXDWmqWY,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_A.png"",""room1"":""/experiment/tangram_B.png""}",16,4,3,0,1,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
rxyxkcdN8fs6WwDyr,5,gFEPCEkDpmECJcCP2,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_D.png"",""room1"":""/experiment/tangram_D.png""}",16,5,3,0,1,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
Q289BPaRM4cC8zqdp,6,dxPnfD7ddHABjJNb6,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_C.png"",""room1"":""/experiment/tangram_A.png""}",16,6,3,0,1,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
93yhiX8rpJBcdH3wg,7,B5uo99ivRW8SFreRi,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_B.png"",""room1"":""/experiment/tangram_C.png""}",16,7,3,0,1,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
mgFw8aGm5odwzQCRv,8,Kbic3bASAji58Gc8z,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_C.png"",""room1"":""/experiment/tangram_D.png""}",16,8,3,0,2,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
5BBqkH93kuA5cGrPA,9,2Kb8To85mWPo5cXDv,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_A.png"",""room1"":""/experiment/tangram_C.png""}",16,9,3,0,2,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
Lvy48pyT2CJ5AYub8,10,NNTyfrTYq4qa4JtfR,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_B.png"",""room1"":""/experiment/tangram_B.png""}",16,10,3,0,2,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
tjTLSLwmRWiJMAJjA,11,HJkk7v9R7MRmrZcDb,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_D.png"",""room1"":""/experiment/tangram_A.png""}",16,11,3,0,2,,"{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":false,""room_correct"":false}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
